CustomerId,total_debit,total_credit,net_amount,avg_debit,txn_count,std_debit,recency_days,avg_amount_abs,fraud_count,fraud_rate,mode_hour,is_high_risk
CustomerId_1,0.0,10000.0,-10000.0,0.0,1,0.0,83,10000.0,0,0.0,16,1
CustomerId_10,0.0,10000.0,-10000.0,0.0,1,0.0,83,10000.0,0,0.0,16,1
CustomerId_1001,25200.0,5200.0,20000.0,5040.0,5,5000.799936010238,89,6080.0,0,0.0,8,1
CustomerId_1002,4500.0,275.0,4225.0,409.09090909090907,11,539.3598899705937,25,434.09090909090907,0,0.0,14,0
CustomerId_1003,26000.0,6000.0,20000.0,4333.333333333333,6,4686.861067566081,11,5333.333333333333,0,0.0,14,0
CustomerId_1004,2000.0,0.0,2000.0,2000.0,1,0.0,52,2000.0,0,0.0,18,1
CustomerId_1005,55000.0,6200.0,48800.0,6111.111111111111,9,4859.126579037751,46,6800.0,0,0.0,8,1
CustomerId_1006,1000.0,0.0,1000.0,1000.0,1,0.0,64,1000.0,0,0.0,7,1
CustomerId_1007,28000.0,0.0,28000.0,28000.0,1,0.0,81,28000.0,0,0.0,6,1
CustomerId_1008,20000.0,0.0,20000.0,10000.0,2,0.0,65,10000.0,0,0.0,13,1
CustomerId_1009,500.0,0.0,500.0,500.0,1,0.0,27,500.0,0,0.0,6,0
CustomerId_1010,28000.0,1665.0,26335.0,4000.0,7,4725.815626252608,41,4237.857142857143,0,0.0,8,1
CustomerId_1012,128900.0,3994.0,124906.0,1741.8918918918919,74,3410.780923586339,4,1795.8648648648648,0,0.0,17,0
CustomerId_1014,763880.0,0.0,763880.0,95485.0,8,119332.84340149493,49,95485.0,0,0.0,9,1
CustomerId_1016,26000.0,6000.0,20000.0,5200.0,5,5019.960159204454,4,6400.0,0,0.0,18,0
CustomerId_1020,295400.0,3205.0,292195.0,1455.1724137931035,203,2491.0950999227216,26,1470.960591133005,0,0.0,12,0
CustomerId_1021,5000.0,0.0,5000.0,5000.0,1,0.0,77,5000.0,0,0.0,19,1
CustomerId_1022,7000.0,0.0,7000.0,7000.0,1,0.0,34,7000.0,0,0.0,13,0
CustomerId_1025,18500.0,1300.0,17200.0,1156.25,16,1729.3423605521261,11,1237.5,0,0.0,13,0
CustomerId_1027,27000.0,230.0,26770.0,1928.5714285714287,14,3474.3961448615173,0,1945.0,0,0.0,18,0
CustomerId_1028,500.0,0.0,500.0,500.0,1,0.0,25,500.0,0,0.0,9,0
CustomerId_1029,57000.0,6000.0,51000.0,6333.333333333333,9,7956.9152314197745,7,7000.0,0,0.0,10,0
CustomerId_1030,3500.0,1150.0,2350.0,437.5,8,495.5156044825574,30,581.25,0,0.0,15,0
CustomerId_1031,123500.0,16661.2,106838.8,2470.0,50,4265.918567493969,14,2803.224,0,0.0,10,0
CustomerId_1032,2000.0,0.0,2000.0,1000.0,2,0.0,33,1000.0,0,0.0,1,0
CustomerId_1033,1000.0,50.0,950.0,500.0,2,707.1067811865476,66,525.0,0,0.0,9,1
CustomerId_1034,50900.0,10392.0,40508.0,3181.25,16,7419.902852014528,8,3830.75,0,0.0,13,0
CustomerId_1036,1000.0,1050.0,-50.0,333.3333333333333,3,577.3502691896258,90,683.3333333333334,0,0.0,9,1
CustomerId_1038,25000.0,6000.0,19000.0,5000.0,5,5000.0,11,6200.0,0,0.0,13,0
CustomerId_1039,260000.0,11105.0,248895.0,8666.666666666666,30,9991.050593106964,11,9036.833333333334,0,0.0,9,0
CustomerId_1040,50000.0,0.0,50000.0,50000.0,1,0.0,37,50000.0,0,0.0,6,1
CustomerId_1043,25000.0,11000.0,14000.0,4166.666666666667,6,4915.960401250875,46,6000.0,0,0.0,19,1
CustomerId_1044,22683.0,834.5,21848.5,1417.6875,16,2019.7208295125013,47,1469.84375,0,0.0,13,1
CustomerId_1048,1000.0,0.0,1000.0,1000.0,1,0.0,42,1000.0,0,0.0,7,1
CustomerId_1050,5000.0,0.0,5000.0,5000.0,1,0.0,53,5000.0,0,0.0,18,1
CustomerId_1052,58000.0,1100.0,56900.0,8285.714285714286,7,18418.417283743336,23,8442.857142857143,0,0.0,16,0
CustomerId_1053,13800.0,12.0,13788.0,1971.4285714285713,7,1909.3753653261283,89,1973.142857142857,0,0.0,4,1
CustomerId_1054,161850.0,2850.0,159000.0,3112.5,52,6082.705111263264,4,3167.3076923076924,0,0.0,21,0
CustomerId_1055,6000.0,150.0,5850.0,1200.0,5,1303.8404810405298,81,1230.0,0,0.0,4,1
CustomerId_1056,5500.0,0.0,5500.0,1375.0,4,1108.6778913041726,55,1375.0,0,0.0,7,1
CustomerId_1057,5000.0,496.0,4504.0,2500.0,2,3535.5339059327375,90,2748.0,0,0.0,6,1
CustomerId_1058,14500.0,685.0,13815.0,500.0,29,575.6983337031395,4,523.6206896551724,0,0.0,11,0
CustomerId_1059,51000.0,11000.0,40000.0,5666.666666666667,9,4636.809247747852,11,6888.888888888889,0,0.0,12,0
CustomerId_1063,14500.0,1175.0,13325.0,1208.3333333333333,12,1499.3685539606533,1,1306.25,0,0.0,9,0
CustomerId_1064,223115.0,31465.0,191650.0,5312.261904761905,42,5478.5125943823505,5,6061.428571428572,0,0.0,21,0
CustomerId_1068,500.0,0.0,500.0,500.0,1,0.0,52,500.0,0,0.0,14,1
CustomerId_1070,5000.0,0.0,5000.0,5000.0,1,0.0,25,5000.0,0,0.0,15,0
CustomerId_1071,239000.0,2710.0,236290.0,34142.857142857145,7,56969.08100431488,2,34530.0,0,0.0,14,0
CustomerId_1073,1000.0,0.0,1000.0,1000.0,1,0.0,71,1000.0,0,0.0,17,1
CustomerId_1074,218100.0,50600.0,167500.0,4741.304347826087,46,3739.731189802373,4,5841.304347826087,0,0.0,15,0
CustomerId_1078,30000.0,11000.0,19000.0,5000.0,6,5477.2255750516615,46,6833.333333333333,0,0.0,21,1
CustomerId_1079,20000.0,0.0,20000.0,20000.0,1,0.0,44,20000.0,0,0.0,18,1
CustomerId_1080,5000.0,0.0,5000.0,5000.0,1,0.0,30,5000.0,0,0.0,6,0
CustomerId_1081,1500.0,0.0,1500.0,750.0,2,353.5533905932738,13,750.0,0,0.0,16,0
CustomerId_1082,25000.0,6000.0,19000.0,5000.0,5,5000.0,46,6200.0,0,0.0,13,1
CustomerId_1083,500.0,0.0,500.0,500.0,1,0.0,31,500.0,0,0.0,17,0
CustomerId_1084,10000.0,0.0,10000.0,10000.0,1,0.0,70,10000.0,0,0.0,16,1
CustomerId_1085,4000.0,1100.0,2900.0,1000.0,4,1154.7005383792516,57,1275.0,0,0.0,20,1
CustomerId_1086,78300.0,724.0,77576.0,2446.875,32,4100.746145717009,4,2469.5,0,0.0,9,0
CustomerId_1087,51000.0,11000.0,40000.0,5666.666666666667,9,4636.809247747852,32,6888.888888888889,0,0.0,20,0
